中文名,外文名,QS
库班国立体育、运动与旅游大学,"Кубанский государственный университет физической культуры, спорта и туризма",
库尔干国立大学,Курганский государственный университет,
库尔斯克国立大学,Курский государственный университет,
库尔斯克国立医科大学,Курский государственный медицинский университет,
库兹巴斯国立技术大学,Кузбасский государственный технический университет имени Т.Ф. Горбачева,
库兹涅佐夫海军学院,Военный учебно-научный центр Военно-Морского Флота «Военно-морская академия имени Адмирала Флота Советского Союза Н.Г. Кузнецова»,
KIMEP大学,Университет КИМЭП,
酪农学园大学,酪農学園大学,
骊州大学,여주대학교,
里海技术与工程大学,Каспийский университет технологий и инжиниринга имени Шахмардана Есенова,
里海社会大学,Каспийский общественный университет,
里千家学园茶道专门学校,裏千家学園茶道専門学校,
立命馆亚洲太平洋大学,立命館アジア太平洋大学,
立正大学,立正大学,
丽泽大学,麗澤大学,
利佩茨克国立技术大学,Липецкий государственный технический университет,
利佩茨克国立师范大学,Липецкий государственный педагогический университет имени П.П. Семенова-Тян-Шанского,
莲庵工科大学,연암공과대학교,
联邦处罚执行局法律与管理学院,Академия права и управления Федеральной службы исполнения наказаний,
联邦处罚执行局弗拉基米尔法律学院,Владимирский юридический институт Федеральной службы исполнения наказаний,
联邦卫生与社会发展部远东国立医科大学,Дальневосточный государственный медицинский университет Федерального агентства по здравоохранению и социальному развитию,
联合核子研究所,Объединённый институт ядерных исследований,
梁赞国立大学,Рязанский государственный университет имени С.А. Есенина,
梁赞国立医科大学,Рязанский государственный медицинский университет имени академика И.П. Павлова,
列宁格勒普希金国立大学,Ленинградский государственный университет имени А. С. Пушкина,
灵山大学,영산대학교,
铃鹿大学,鈴鹿大学,
铃鹿医疗科学大学,鈴鹿医療科学大学,
岭南理工大学,영남이공대학교,
岭南神学大学,영남신학대학교,
岭南外国语大学,영남외국어대학,
流通经济大学,流通経済大学,
流通科学大学,流通科学大学,
柳韩大学,유한대학교,
龙谷大学,龍谷大学,
龙仁大学,용인대학교,
龙仁松潭大学,용인송담대학교,
卢茨克国立技术大学,Луцький національний технічний університет,
芦屋大学,芦屋大学,
陆军教学科研中心“俄罗斯联邦武装力量朱可夫勋章多兵种合成学院”,Военный учебно-научный центр Сухопутных войск «Общевойсковая ордена Жукова академия Вооружённых Сил Российской Федерации»,
鹿儿岛国际大学,鹿児島国際大学,
鹿屋体育大学,鹿屋体育大学,
路德学院大学,ルーテル学院大学,
罗斯托夫国立交通大学,Ростовский государственный университет путей сообщения,
罗斯托夫国立经济大学,Ростовский государственный экономический университет (РИНХ),
罗斯托夫国立音乐学院,Ростовская государственная консерватория им. С.В.Рахманинова,
麻布大学,麻布大学,
麻生信息商务专门学校,麻生情報ビジネス専門学校,
马格尼托戈尔斯克国立技术大学,Магнитогорский государственный технический университет им Г.И. Носова,
马格尼托哥尔斯克国立音乐学院,Магнитогорская государственная консерватория (академия) имени М.И. Глинки,
马里国立大学,Марийский государственный университет,
马山大学,마산대학교,
迈科普国立工艺大学,Майкопский государственный технологический университет,
梅光学院大学,梅光学院大学,
梅花女子大学,梅花女子大学,
梅利托波尔国立师范大学,Мелітопольський державний педагогічний університет імені Богдана Хмельницького,
米丘林国立农业大学,Мичуринский государственный аграрный университет,
米山时装经贸专门学校,米山ファッション・ビジネス専門学校,
米子工业高等专门学校,米子工業高等専門学校,
蜜丝芭莉美容专门学校,ミス・パリ・ビューティ専門学校,
民航学院,Академия гражданской авиации,
名城大学,名城大学,
名古屋产业大学,名古屋産業大学,
名古屋动物专门学校,名古屋動物専門学校,
名古屋工学院专门学校,名古屋工学院専門学校,
名古屋经济大学,名古屋経済大学,
名古屋经营短期大学,名古屋経営短期大学,
名古屋经营会计专门学校,名古屋経営会計専門学校,
名古屋女子大学短期大学部,名古屋女子大学短期大学部,
名古屋商科大学,名古屋商科大学,
名古屋辻学园烹饪专门学校,名古屋辻学園調理専門学校,
名古屋外国语大学,名古屋外国語大学,
名古屋学院大学,名古屋学院大学,
名古屋医专,名古屋医専,
名古屋艺术大学,名古屋芸術大学,
名古屋音乐大学,名古屋音楽大学,
名古屋造型大学,名古屋造形大学,
名古屋MODE学园专门学校,名古屋モード学園,
名樱大学,名桜大学,
明海大学,明海大学,
明斯克创新大学,Минский инновационный университет,
明斯克国立语言大学,Минский государственный лингвистический университет,
明星大学,明星大学,
明知大学,명지대학교,
明知专门大学,명지전문대학,
明治学院大学,明治学院大学,
明治药科大学,明治薬科大学,
鸣门教育大学,鳴門教育大学,
摩尔曼斯克北极大学,Мурманский арктический университет,
莫吉廖夫国立大学,Могилевский государственный университет имени А.А.Кулешова,
莫吉廖夫国立食品大学,Могилевский государственный университет продовольствия,
莫济里国立师范大学,Мозырский государственный педагогический университет имени И. П. Шамякина,
莫斯科鲍曼国立技术大学（国家研究型大学）,Московский государственный технический университет имени Н. Э. Баумана (национальный исследовательский университет),
莫斯科柴可夫斯基国立音乐学院,Московская государственная консерватория имени П. И. Чайковского,
莫斯科国际大学,Московский международный университет,
莫斯科国际学院,Московская международная академия,
莫斯科国立大学,Московский государственный университет имени М.В.Ломоносова,
莫斯科国立法律大学,Московский государственный юридический университет имени О.Е. Кутафина (МГЮА),
莫斯科国立国际关系学院（大学）,Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации,
莫斯科国立技术大学（斯坦金）,Московский государственный технологический университет «Станкин»,
莫斯科国立技术与管理大学（第一哥萨克大学）,Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет),
莫斯科国立民航技术大学,Московский государственный технический университет гражданской авиации,
莫斯科国立师范大学,Московский педагогический государственный университет,
莫斯科国立施尼特凯音乐学院,Московский государственный институт музыки имени А.Г. Шнитке,
莫斯科国立体育学院,Московская государственная академия физической культуры,
莫斯科国立文化学院,Московский государственный институт культуры,
莫斯科国立舞蹈学院,Московская государственная академия хореографии,
莫斯科国立心理学与教育大学,Московский государственный психолого-педагогический университет,
莫斯科国立语言大学,Московский государственный лингвистический университет,
莫斯科国立运动与旅游大学,Московский государственный университет спорта и туризма,
莫斯科航空学院（国家研究型大学）,Московский авиационный институт (национальный исследовательский университет),
莫斯科建筑学院（国立学院）,Московский архитектурный институт (государственная академия),
莫斯科金融法律大学,Московский финансово-юридический университет МФЮА,
莫斯科金融与工业大学“协同”,Московский финансово-промышленный университет «Синергия»,
莫斯科理工大学,Московский политехнический университет,
莫斯科汽车公路国立技术大学,Московский автомобильно-дорожный государственный технический университет (МАДИ),
莫斯科人文大学,Московский гуманитарный университет,
莫斯科市立师范大学,Московский городской педагогический университет,
莫斯科市政府莫斯科市立管理大学,Московский городской университет управления Правительства Москвы,
莫斯科通信与信息技术大学,Московский технический университет связи и информатики,
莫斯科维特大学,Московский университет имени С.Ю. Витте,
莫斯科物理技术学院（国家研究型大学）,Московский физико-технический институт (национальный исследовательский университет),
莫斯科心理分析学院,Московский институт психоанализа,
木浦海洋大学,목포해양대학교,
木浦加图立大学,목포가톨릭대학교,
目白大学,目白大学,
目白大学短期大学部,目白大学短期大学部,
牧园大学,목원대학교,
MIREA-俄罗斯技术大学,МИРЭА - Российский технологический университет,
奈良大学,奈良大学,
奈良计算机专门学校,奈良コンピュータ専門学校,
奈良教育大学,奈良教育大学,
奈良女子大学,奈良女子大学,
奈良县立医科大学,奈良県立医科大学,
南部大学,남부대학교,
南俄罗斯国立技术大学（新切尔卡斯克工学院）,Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова,
南俄罗斯人文学院,Южно-Российский гуманитарный институт,
南哈萨克斯坦大学,Южно-Казахстанский университет имени М.Ауэзова,
南九州大学,南九州大学,
南联邦大学,Южный федеральный университет,
南山大学,南山大学,
南首尔大学,남서울대학교,
南乌拉尔柴可夫斯基国立艺术学院,Южно-Уральский государственный институт искусств имени. П.И. Чайковского,
南乌拉尔国立大学（国家研究型大学）,Южно-Уральский государственный университет (национальный исследовательский университет),
南乌拉尔国立人文师范大学,Южно-Уральский государственный гуманитарно-педагогический университет,
南乌拉尔国立医科大学,Южно-Уральский государственный медицинский университет,
尼古拉耶夫国立大学,Миколаївський національний університет імені В.О. Сухомлинського,
涅维尔斯基国立海事大学,Морской государственный университет имени адмирала Г.И. Невельского,
农业综合企业与地区发展高等学校,Висше училище по агробизнес и развитие на регионите - Пловдив,
女子美术大学,女子美術大学,
女子美术大学短期大学部,女子美術大学短期大学部,
女子营养大学,女子栄養大学,
诺夫哥罗德国立大学,Новгородский государственный университет имени Ярослава Мудрого,
Narxoz大学,Университет Нархоз,
欧亚创新大学,Инновационный Евразийский Университет,
欧亚法学院,Евразийская Юридическая Академия имени Д.А.Кунаева,
欧亚国立大学,Евразийский национальный университет им. Л. Н. Гумилева,
欧亚人文学院,Евразийский гуманитарный институт,
培材大学,배재대학교,
彭吉肯特市塔吉克师范学院,Таджикский педагогический институт в городе Пенджикент,
皮亚季戈尔斯克国立大学,Пятигорский государственный университет,
平安女学院大学,平安女学院大学,
平成音乐大学,平成音楽大学,
平壤建设建材大学,평양건설건재대학,
平壤轻工业大学,평양경공업대학,
平泽大学,평택대학교,
浦和大学,浦和大学,
浦和专门学校,浦和専門学校,
浦项工科大学,포항공과대학교,
普罗夫迪夫大学“帕伊西·希伦达尔斯基”,"Пловдивски университет ""Паисий Хилендарски""",
普罗夫迪夫农业大学,Аграрен Университет Пловдив,
普罗夫迪夫音乐、舞蹈与美术学院,"Академия за музикално, танцово и изобразително изкуство ""Проф. Асен Диамандиев"" - Пловдив",
普斯科夫国立大学,Псковский государственный университет,
Prospera学院商务专门学校,プロスペラ学院ビジネス専門学校,
岐阜女子大学,岐阜女子大学,
岐阜圣德学园大学,岐阜聖徳学園大学,
岐阜协立大学,岐阜協立大学,
岐阜药科大学,岐阜薬科大学,
埼玉工业大学,埼玉工業大学,
埼玉女子短期大学,埼玉女子短期大学,
埼玉汽车大学校,埼玉自動車大学校,
埼玉学园大学,埼玉学園大学,
启明文化大学,계명문화대학교,
千叶工业大学,千葉工業大学,
千叶科学大学,千葉科学大学,
千叶日建工科专门学校,千葉日建工科専門学校,
千叶商科大学,千葉商科大学,
前桥工科大学,前橋工科大学,
切列波韦茨国立大学,Череповецкий государственный университет,
青森大学,青森大学,
青森明之星短期大学,青森明の星短期大学,
青森中央学院大学,青森中央学院大学,
青山学院大学,青山学院大学,
青山制图专门学校,青山製図専門学校,
青云大学,청운대학교,
轻工业大学,경공업대학,
清风情报工科学院,清風情報工科学院,
清泉女子大学,清泉女子大学,
清州大学,청주대학교,
情报安全大学院大学,情報セキュリティ大学院大学,
情报科学艺术大学院大学,情報科学芸術大学院大学,
庆北大学,경북대학교,
庆北道立大学,경북도립대학교,
庆北科学大学,경북과학대학,
庆北专门大学,경북전문대학교,
庆南大学,경남대학교,
庆南情报大学,경남정보대학교,
庆星大学,경성대학교,
庆一大学,경일대학교,
庆云大学,경운대학교,
秋明工业大学,Тюменский индустриальный университет,
秋明国立医科大学,Тюменский государственный медицинский университет,
秋田大学,秋田大学,
秋田公立美术大学,秋田公立美術大学,
秋田县立大学,秋田県立大学,
秋溪艺术大学,추계예술대학교,
全北大学,전북대학교,
全北科学大学,전북과학대학교,
全俄国立电影大学,Всероссийский государственный университет кинематографии имени С.А. Герасимова,
全俄国立司法大学,Всероссийский государственный университет юстиции (РПА Минюста России),
全俄药用与芳香植物科研所,Всероссийский научно-исследовательский институт лекарственных и ароматических растений (ВИЛАР),
全南科学大学,전남과학대학교,
全州大学,전주대학교,
全州纪全大学,전주기전대학,
全州VISION大学,전주비전대학교,
群马县立女子大学,群馬県立女子大学,
群马医疗福祉大学,群馬医療福祉大学,
群马PAZ大学福祉专门学校,群馬パース大学福祉専門学校,
群长大学,군장대학교,
人类环境大学,人間環境大学,
人民友谊大学,Университет дружбы народов имени академика А.Куатбекова,
人文教育与信息技术学院,Институт гуманитарного образования и информационных технологий,
仁川大学,인천대학교,
仁德大学,인덕대학교,
仁荷工业专门大学,인하공업전문대학,
日本产业专门学校,日本産業専門学校,
日本大学短期大学部,日本大学短期大学部,
日本电子专门学校,日本電子専門学校,
日本动漫与漫画专门学校,日本アニメ・マンガ専門学校,
日本儿童教育专门学校,日本児童教育専門学校,
日本福祉大学,日本福祉大学,
日本福祉大学中央福祉专门学校,日本福祉大学中央福祉専門学校,
日本福祉教育专门学校,日本福祉教育専門学校,
日本糕点专门学校,日本菓子専門学校,
日本工学院八王子专门学校,日本工学院八王子専門学校,
日本工学院专门学校,日本工学院専門学校,
日本工业大学,日本工業大学,
日本国际工科专门学校,日本国際工科専門学校,
日本国际学园大学,日本国際学園大学,
日本航空大学校,日本航空大学校,
日本计算机专门学校,日本コンピュータ専門学校,
日本健康体育专门学校,日本ウェルネススポーツ専門学校,
日本健康医疗专门学校,日本健康医療専門学校,
日本经济大学,日本経済大学,
日本酒店专门学校,専門学校日本ホテルスクール,
日本理工情报专门学校,日本理工情報専門学校,
日本女子大学,日本女子大学,
日本设计福祉专门学校,日本デザイン福祉専門学校,
日本设计师学院专门学校,専門学校日本デザイナー学院,
日本社会事业大学,日本社会事業大学,
日本兽医生命科学大学,日本獣医生命科学大学,
日本体育大学,日本体育大学,
日本外国语专门学校,日本外国語専門学校,
日本文理大学,日本文理大学,
日本写真艺术专门学校,日本写真芸術専門学校,
日本药科大学,日本薬科大学,
日本医科学专门学校,専門学校日本医科学大学校,
日本医疗福祉专门学校,日本メディカル福祉専門学校,
日本医疗商务专门学校,日本医療ビジネス大学校,
日本映画大学,日本映画大学,
日本综合医疗专门学校,日本総合医療専門学校,
日产京都汽车专门学校,専門学校日産京都自動車大学校,
日产枥木自动车大学校,日産栃木自動車大学校,
日商簿记三鹰福祉专门学校,日商簿記三鷹福祉専門学校,
日托米尔军事学院,Житомирський військовий інститут імені С.П. Корольова,
日中文化艺术专门学校,日中文化芸術専門学校,
瑞靖大学,서정대학교,
瑞永大学,서영대학교,
椙山女学园大学,椙山女学園大学,
晟夽大学,성운대학교,
萨哈林国立大学,Сахалинский государственный университет,
萨拉托夫国家研究型国立大学,Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского,
萨拉托夫国立法学院,Саратовская государственная юридическая академия,
萨拉托夫国立技术大学,Саратовский государственный технический университет имени Гагарина Ю.А.,
萨拉托夫国立医科大学,Саратовский государственный медицинский университет имени В.И. Разумовского,
萨拉托夫国立音乐学院,Саратовская государственная консерватория имени Л.В.Собинова,
萨马拉公共管理大学（国际市场学院）,"Самарский университет государственного управления ""Международный институт рынка""",
萨马拉国家研究型大学,Самарский национальный исследовательский университет имени академика С.П. Королева,
萨马拉国立技术大学,Самарский государственный технический университет,
萨马拉国立社会-师范大学,Самарский государственный социально-педагогический университет,
萨马拉人文学院,Самарская гуманитарная академия,
萨玛拉国立经济大学,Самарский государственный экономический университет,
桑泽设计研究所专门学校,専門学校桑沢デザイン研究所,
涩谷外国语专门学校,渋谷外国語専門学校,
瑟克特夫卡尔国立大学,Сыктывкарский государственный университет имени Питирима Сорокина,
沙里院农业大学,사리원농업대학,
山村学园短期大学,山村学園短期大学,
山口县立大学,山口県立大学,
山梨县立大学,山梨県立大学,
山梨学院大学,山梨学院大学,
山梨英和大学,山梨英和大学,
山手料理糕点专门学校,山手調理製菓専門学校,
山胁美术专门学校,山脇美術専門学校,
山阳女子短期大学,山陽女子短期大学,
山阳小野田市立山口东京理科大学,山陽小野田市立山口東京理科大学,
山阳学园大学,山陽学園大学,
山野美容艺术短期大学,山野美容芸術短期大学,
山野美容专门学校,山野美容専門学校,
杉野服饰大学,杉野服飾大学,
商务职业学院,Институт деловой карьеры,
上田安子服饰专门学校,上田安子服飾専門学校,
上武大学,上武大学,
上野法科商务专门学校,上野法科ビジネス専門学校,
上野学园大学,上野学園大学,
上越教育大学,上越教育大学,
上智大学,上智大学,
尚絅学院大学,尚絅学院大学,
尚美学园大学,尚美学園大学,
尚美音乐学院专门学校,尚美ミュージックカレッジ専門学校,
尚志大学,상지대학교,
社会与人文知识学院,Институт социальных и гуманитарных знаний,
摄南大学,摂南大学,
神户电子专门学校,神戸電子専門学校,
神户糕点专门学校,神戸製菓専門学校,
神户国际大学,神戸国際大学,
神户海星女子学院大学,神戸海星女子学院大学,
神户亲和大学,神戸親和大学,
神户情报大学院大学,神戸情報大学院大学,
神户市外国语大学,神戸市外国語大学,
神户松荫女子学院大学,神戸松蔭女子学院大学,
神户学院大学,神戸学院大学,
神户医疗未来大学,神戸医療未来大学,
神户艺术工科大学,神戸芸術工科大学,
神奈川齿科大学,神奈川歯科大学,
神奈川大学,神奈川大学,
神奈川工科大学,神奈川工科大学,
神奈川经济专门学校,神奈川経済専門学校,
神奈川县立保健福祉大学,神奈川県立保健福祉大学,
神田外语大学,神田外語大学,
神田外语学院专门学校,専門学校神田外語学院,
圣彼得堡巴甫洛夫国立第一医科大学,Первый Санкт-Петербургский государственный медицинский университет имени академика И.П. Павлова,
圣彼得堡工会人文大学,Санкт-петербургский гуманитарный университет профсоюзов,
圣彼得堡国立电信大学,Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А.Бонч-Бруевича,
圣彼得堡国立儿科医科大学,Санкт-Петербургский государственный педиатрический медицинский университет,
圣彼得堡国立工业技术与设计大学,Санкт-петербургский государственный университет промышленных технологий и дизайна,
圣彼得堡国立工业美术学院,Санкт-Петербургская государственная художественно-промышленная академия им. А. Л. Штиглица,
圣彼得堡国立海洋技术大学,Санкт-Петербургский государственный морской технический университет,
圣彼得堡国立航空航天仪表大学,Санкт-Петербургский государственный университет аэрокосмического приборостроения,
圣彼得堡国立技术学院（技术大学）,Санкт-Петербургский государственный технологический институт (технический университет),
圣彼得堡国立建筑大学,Санкт-Петербургский государственный архитектурно-строительный университет,
圣彼得堡国立经济大学,Санкт-Петербургский государственный экономический университет,
圣彼得堡国立林业技术大学,Санкт-Петербургский государственный лесотехнический университет имени С.М. Кирова,
圣彼得堡国立马卡洛夫元帅河海舰队大学,Государственный университет морского и речного флота имени адмирала С.О. Макарова,
圣彼得堡国立农业大学,Санкт-Петербургский государственный аграрный университет,
圣彼得堡国立兽医大学,Санкт-Петербургский государственный университет ветеринарной медицины,
圣彼得堡国立体育、运动与健康大学,"Национальный государственный университет физической культуры, спорта и здоровья имени П.Ф. Лесгафта, Санкт-Петербург",
圣彼得堡国立文化学院,Санкт-Петербургский государственный институт культуры,
圣彼得堡国立音乐学院,Санкт-Петербургская государственная консерватория имени Н.А. Римского-Корсакова,
圣彼得堡国立影视学院,Санкт-Петербургский государственный институт кино и телевидения,
圣彼得堡技术、管理与经济大学,Санкт-Петербургский университет технологий управления и экономики,
圣彼得堡列宾美术学院,Санкт-Петербургская академия художеств имени Ильи Репина,
圣彼得堡列宁国立电子技术大学“LETI”,Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина),
圣德大学,聖徳大学,
圣德大学短期大学部,聖徳大学短期大学部,
圣公会大学,성공회대학교,
圣洁大学,성결대학교,
圣隶克里斯托弗大学,聖隷クリストファー大学,
圣路加国际大学,聖路加国際大学,
圣玛丽安医科大学,聖マリアンナ医科大学,
圣玛丽外语专门学校,セントメリー外語専門学校,
圣泉大学,聖泉大学,
圣心女子大学,聖心女子大学,
圣学院大学,聖学院大学,
十文字学园女子大学,十文字学園女子大学,
石卷专修大学,石巻専修大学,
辻厨师专门学校,辻調理師専門学校,
辻学园烹饪糕点专门学校,辻学園調理・製菓専門学校,
辻学园营养专门学校,辻学園栄養専門学校,
世翰大学,세한대학교,
世界经济学院,Институт мировой экономики,
世明大学,세명대학교,
事业创造大学院大学,事業創造大学院大学,
室兰工业大学,室蘭工業大学,
首都国际大学院大学,수도국제대학원대학교,
首都医校,首都医校,
首尔风险大学院大学,서울벤처대학원대학교,
首尔基督大学,서울기독대학교,
首尔教育大学,서울교육대학교,
首尔科学综合大学院大学,서울과학종합대학원대학교,
首尔媒体大学院大学,서울미디어대학원대학교,
首尔女子大学,서울여자대학교,
首尔神学大学,서울신학대학교,
首尔外国语大学院大学,서울외국어대학원대학교,
首尔艺术大学,서울예술대학교,
淑德大学,淑徳大学,
数字好莱坞大学,デジタルハリウッド大学,
水户日建工科专门学校,水戸日建工科専門学校,
水原大学,수원대학교,
水原科学大学,수원과학대학교,
顺天第一大学,순천제일대학교,
顺天青岩大学,순천청암대학,
私立管理与创业学院,Частный институт управления и предпринимательства,
斯科尔科沃科学与技术学院,Сколковский институт науки и технологий,
斯摩棱斯克国立大学,Смоленский государственный университет,
斯塔夫罗波尔国立农业大学,Ставропольский государственный аграрный университет,
斯维什托夫“谢诺夫”经济学院,"Стопанска академия ""Димитър Апостолов Ценов"" - Свищов",
四国大学,四国大学,
四国学院大学,四国学院大学,
四日市大学,四日市大学,
四日市福祉专门学校,四日市福祉専門学校,
四天王寺大学,四天王寺大学,
松本齿科大学,松本歯科大学,
松本大学,松本大学,
松谷大学,송곡대학교,
松山大学,松山大学,
松山东云女子大学,松山東雲女子大学,
松山学园松山福祉专门学校,松山学園松山福祉専門学校,
松荫大学,松蔭大学,
松源大学,송원대학교,
苏尔吉古特国立大学,Сургутский государственный университет,
苏梅建筑学院,Сумський Будівельний Коледж,
索契国立大学,Сочинский государственный университет,
塔甘罗格管理与经济学院,Таганрогский институт управления и экономики,
塔吉克国立大学,Таджикский национальный университет,
塔吉克国立法律、商业与政治大学,"Таджикский государственный университет права, бизнеса и политики",
塔吉克国立语言学院,Таджикский государственный институт языков имени Сотима Улугзода,
塔吉克技术大学,Таджикский технический университет имени академика М.С.Осими,
塔吉克农业大学,Таджикский Аграрный Университет имени Шириншох Шотемур,
塔吉克斯坦工艺大学,Технологический университет Таджикистана,
塔吉克斯坦共和国总统国家行政学院,Институт государственного управления при Президенте Республики Таджикистан,
塔吉克斯坦国立商业大学,Таджикский государственный университет коммерции,
塔吉克斯坦国立造型艺术与设计学院,Государственный институт изобразительного искусства и дизайна Таджикистана,
塔吉克斯坦理工大学,Технологический университет Таджикистана,
塔拉兹国际创新学院,Международный Таразский инновационный институт имени Шерхана Муртазы,
拓殖大学,拓殖大学,
拓殖大学北海道短期大学,拓殖大学北海道短期大学,
太成学院大学,太成学院大学,
太平洋国立大学,Тихоокеанский государственный университет,
太平洋国立医科大学,Тихоокеанский государственный медицинский университет,
坦波夫国立大学,Тамбовский государственный университет имени Г.Р. Державина,
坦波夫国立技术大学,Тамбовский государственный технический университет,
坦波夫国立音乐师范学院,Тамбовский государственный музыкально-педагогический институт им. С.В. Рахманинова,
桃山学院大学,桃山学院大学,
陶里亚蒂国立大学,Тольяттинский государственный университет,
特维尔国立大学,Тверской государственный университет,
特维尔国立技术大学,Тверской государственный технический университет,
特维尔国立医科大学,Тверской государственный медицинский университет,
天理大学,天理大学,
同德女子大学,동덕여자대학교,
同朋大学,同朋大学,
同志社大学,同志社大学,
同志社女子大学,同志社女子大学,
桐朋学园大学,桐朋学園大学,
桐荫横滨大学,桐蔭横浜大学,
图拉国立大学,Тульский государственный университет,
图拉国立师范大学,Тульский государственный педагогический университет им. Л.Н. Толстого,
图兰大学,Университет «Туран»,
图瓦国立大学,Тувинский государственный университет,
托赖格罗夫大学,Торайгыров Университет,
托姆斯克国家研究型理工大学,Национальный исследовательский Томский политехнический университет,
托姆斯克国立建筑大学,Томский государственный архитектурно-строительный университет,
托姆斯克国立师范大学,Томский государственный педагогический университет,
托姆斯克控制系统与无线电电子学国立大学,Томский государственный университет систем управления и радиоэлектроники,
TRIDENT外语、酒店与婚礼专门学校,トライデント外国語・ホテル・ブライダル専門学校,
瓦尔纳经济大学,Икономически университет - Варна,
瓦冈诺娃俄罗斯芭蕾舞学院,Академия Русского балета имени А.Я.Вагановой,
外语商务专门学校,外語ビジネス専門学校,
丸之内商务专门学校,丸の内ビジネス専門学校,
威德大学,위덕대학교,
唯元大学,유원대학교,
维捷布斯克国立大学,Витебский государственный университет им. П.М.Машерова,
维捷布斯克国立工艺大学,Витебский государственный технологический университет,
维捷布斯克国立荣誉勋章兽医学院,Витебская ордена «Знак Почета» государственная академия ветеринарной медицины,
维捷布斯克国立医科大学,Витебский государственный ордена дружбы народов медицинский университет,
维亚特卡国立大学,Вятский государственный университет,
尾道市立大学,尾道市立大学,
文化服装学院,文化服装学院,
文化时尚大学院大学,文化ファッション大学院大学,
文化外国语专门学校,文化外国語専門学校,
文化学园大学,文化学園大学,
文教大学,文教大学,
文京学院大学,文京学院大学,
文星艺术大学,文星芸術大学,
沃罗涅日高等技术学院,Воронежский институт высоких технологий,
沃罗涅日国立大学,Воронежский государственный университет,
沃罗涅日国立工程技术大学,Воронежский государственный университет инженерных технологий,
沃罗涅日国立技术大学,Воронежский государственный технический университет,
沃罗涅日国立师范大学,Воронежский государственный педагогический университет,
沃罗涅日经济法律学院,Воронежский экономико-правовой институт,
沃罗涅什国立林业技术大学,Воронежский государственный лесотехнический университет имени Г.Ф. Морозова,
沃洛格达国立大学,Вологодский государственный университет,
乌德穆尔特国立大学,Удмуртский государственный университет,
乌法国立石油技术大学,Уфимский государственный нефтяной технический университет,
乌法国立艺术学院,Уфимский государственный институт искусств имени Загира Исмагилова,
乌法科技大学,Уфимский университет науки и технологий,
乌赫塔国立技术大学,Ухтинский государственный технический университет,
乌克兰国家边防学院,Національна академія Державної прикордонної служби України імені Богдана Хмельницького,
乌克兰国家科学院半导体物理研究所,Інститут фізики напівпровідників ім. В.Є.Лашкарьова НАН України,
乌克兰国家科学院材料科学问题研究所,Інститут проблем матеріалознавства ім.І.М.Францевича Національної академії наук України,
乌克兰国家科学院单晶研究所,Інститут монокристалів НАН України,
乌克兰国家科学院低温物理与技术研究所,Фізико-технічний інститут низьких температур ім. Б.І. Вєркіна НАН України,
乌克兰国家科学院电动力学研究所,Інститут електродинаміки НАН України,
乌克兰国家科学院机械工程问题研究所,Інститут проблем машинобудування ім. А.М.Підгорного НАН України,
乌克兰国家科学院金属物理研究所,Інститут металофізики ім. Г. В. Курдюмова Національної академії наук України,
乌克兰国家科学院克里姆斯基东方研究所,Інститут сходознавства ім. А. Кримського НАН України,
乌克兰国家科学院控制研究所,Інститут кібернетики ім. В.М. Глушкова НАН України,
乌克兰国家科学院能源建模问题研究所,Інститут проблем моделювання в енергетиці ім.Г.Є.Пухова НАН України,
乌克兰国家科学院丘克表面化学研究所,Інститут хімії поверхні ім. О. О. Чуйка НАН України,
乌克兰国家科学院数学研究所,Інститут математики Національної академії наук України,
乌克兰国家科学院水生生物研究所,Інститут гідробіології НАН України,
乌克兰国家科学院微生物学与病毒学研究所,Інститут мікробіології і вірусології ім. Д.К. Заболотного НАН України,
乌克兰国家科学院物理机械研究所,Фізико-механічний інститут ім. Г.В. Карпенка НАН України,
乌克兰国家农业科学院动物育种与遗传学研究所,Інститут розведення і генетики тварин УААН,
乌克兰国家医学科学院眼病与组织疗法研究所,Інститут очних хвороб і тканинної терапїі ім.В.П.Філатова НАМН України,
